;Title, http://www.gcdataconcepts.com, LSM6DSM, BMP384, GPS
;Version, 2585, Build date, Feb  9 2024,  SN:CCDC20234ECBE41
;Start_time, 2024-07-22, 19:19:37.275
;Uptime, 5,sec,  Vbat, 4076, mv, EOL, 3500, mv
;Deadband, 0, counts
;DeadbandTimeout, 0.000,sec
;BMP384, SI, 0.100,sec, Units, Pa, mdegC
;Alt Trigger disabled
;LSM6DSM, SR,104,Hz, Units, mG, mdps, fullscale gyro 250dps, accel 4g
;Magnetometer, SR,10,Hz, Units, nT, Temperature, 31,degC
;CAM_M8 Gps, SR,10,Hz
;Gps Sats, TOW, 155995000, ver, 1, numSat, 24
;, gnssId, svId, cno, elev, azmith, prRes, flags,inUse
;, GPS, 005, 00, 00, 070, 0, 0x00001910
;, GPS, 008, 00, 02, 327, 0, 0x00001210
;, GPS, 010, 00, 38, 267, 0, 0x00001911
;, GPS, 013, 00, 15, 040, 0, 0x00001911
;, GPS, 015, 00, 43, 054, 0, 0x00001910
;, GPS, 016, 00, 08, 274, 0, 0x00001911
;, GPS, 018, 00, 71, 085, 0, 0x00001910
;, GPS, 023, 00, 68, 307, 0, 0x00001910
;Time, Ax, Ay, Az, Gx, Gy, Gz, Mx, My, Mz, P, T, TOW, Lat,Lon, Height(m), MSL(m), hdop(m), vdop(m)
1721675977.337370,-58,-167,988,-2388,-8505,3998,-4840,-38635,71667,84566,34021, 155995.310, 40.0102468,-105.2441079, 1589.226,1610.554, 268066.816,189551.856
1721675977.346666,-93,-154,1013,3334,-13423,-11358
1721675977.355962,-164,-25,1029,1558,-11839,-4699
1721675977.365258,-197,28,1064,490,-9232,1478
1721675977.374554,-164,91,1037,1759,-4813,3228
1721675977.383850,29,421,945,3273,-88,1662
1721675977.393146,73,-109,1040,6160,2878,-6012
1721675977.402442,-419,12,900,12180,4961,-14980
1721675977.793183,-250,52,1254,10737,2826,-11174,-4760,-39318,71032,84556,34023
1721675977.802479,48,58,881,12163,8680,5215
1721675977.811775,148,-38,993,13904,14420,-3457
1721675977.821071,142,-172,896,16092,13527,-14455
1721675977.830367,66,52,911,14945,9275,-13064
1721675977.839663,-8,54,923,11997,6020,-9765
1721675977.848959,3,-54,956,13108,5337,-11577
1721675977.858255,34,-179,958,15610,6632,-8532
1721675977.867554,61,-158,1006,15742,7840,-2170,,,,84560,34023
1721675977.876850,96,-165,997,13983,7848,6300
1721675977.886146,121,-82,1019,12924,7621,12862
1721675977.895442,104,-121,1033,11743,6588,14253
1721675977.904738,38,-116,1053,11620,4943,12005
1721675977.914034,3,-82,1081,11384,3430,10858
1721675977.923330,18,-55,1102,11340,3141,9397
1721675977.932626,26,-41,1112,11813,3167,6965
1721675977.941925,18,-90,1112,13187,3141,4042,-3869,-40332,70397,84560,34021
1721675977.951221,127,-174,1094,14438,2843,3228
1721675977.960517,131,-294,1085,14683,1907,2458
1721675977.969813,219,-218,1077,13388,-307,183
1721675977.979109,150,-123,1090,9433,-2599,4340
1721675977.988405,39,-81,1074,7053,-5915,7026
1721675977.997701,-17,-71,1055,6379,-7324,8277
1721675978.006997,-24,-73,1038,6283,-6790,7953
1721675978.016297,-28,-8,1025,6012,-5714,6807,-3808,-41088,69750,,, 156000.999, 40.0102468,-105.2441079, 1589.226,1610.554, 5445.644,3850.652
1721675978.025593,-55,146,998,5382,-4892,5206
1721675978.034889,-116,-142,964,6178,-4367,393
1721675978.044185,5,16,962,7963,-2879,-3719
1721675978.053481,-103,-66,942,6589,-1847,1767
1721675978.062777,2,-217,942,7193,-1120,-1164
1721675978.072073,58,-110,992,6362,1583,1172
1721675978.081369,41,-130,1026,4060,2100,2590
1721675978.090668,47,-174,1039,3579,1610,612,-3533,-41558,69464,84558,34025
1721675978.099964,54,-172,1033,3107,1828,472
1721675978.109260,60,-111,1032,2468,1575,2703
1721675978.118556,48,-82,1036,1855,1155,5818
1721675978.127852,-12,-80,1041,2013,481,6886
1721675978.137148,100,-25,1012,2494,516,6711
1721675978.146444,-102,-64,1028,2923,1627,6702
1721675978.155740,10,-1,1028,4454,1085,6291
1721675978.165039,1,-66,1020,5338,2773,3220,-3265,-41973,69018,84564,34025, 156001.100, 40.0102468,-105.2441079, 1589.226,1610.554, 5445.655,3850.659
1721675978.174335,93,-88,994,6615,3613,-385
1721675978.183631,141,-96,975,7219,3456,-648
1721675978.192927,114,-156,970,7263,1960,-1890
1721675978.202223,76,-189,986,7184,-44,-3885
1721675978.211519,39,-203,1010,6222,-1164,-3597
1721675978.220815,86,-232,1010,4830,-1094,-2100
1721675978.230111,158,-182,998,3028,-385,210
1721675978.239411,111,-189,1002,727,-867,586,,,,84554,34025, 156001.200, 40.0102468,-105.2441079, 1589.226,1610.554, 5445.667,3850.668
1721675978.248707,-107,-211,1053,-1172,-2713,-1505
1721675978.258003,23,47,1026,-2791,-2695,-1173
1721675978.267299,-47,-117,993,-3500,-140,1015
1721675978.276595,-32,-57,971,-1531,813,-2004
1721675978.285891,-32,-58,957,-1505,1715,-2170
1721675978.295187,33,-61,929,-752,2397,-3212
1721675978.304483,92,-99,897,254,3027,-4235
1721675978.313782,101,-155,883,1103,2651,-5242,-3289,-42059,68908,,, 156001.300, 40.0102468,-105.2441079, 1589.226,1610.554, 5445.681,3850.678
1721675978.323078,140,-158,914,1129,1487,-5347
1721675978.332374,166,-247,924,945,192,-4262
1721675978.341670,178,-232,963,595,-1672,-2162
1721675978.350966,103,-186,999,-743,-3684,1566
1721675978.360262,-8,-129,1021,-1776,-5539,4410
1721675978.369558,-34,-152,1025,-1776,-5845,2800
1721675978.378854,25,-268,1016,-1041,-4454,-683
1721675978.388184,275,-615,1079,-1120,-3159,-2450,-3405,-42034,69000,84567,34028
1721675978.397480,328,-496,1059,-4488,-3693,-840
1721675978.406776,303,-192,1094,-15233,-8330,8820
1721675978.416072,46,-144,1037,-22662,-14385,21953
1721675978.425368,-98,-143,1045,-23633,-17308,18620
1721675978.434664,-23,-128,1057,-23266,-14727,11436
1721675978.443960,-6,-87,1042,-23283,-10763,5538
1721675978.453256,-45,-12,1014,-23380,-8759,341
1721675978.462555,-159,85,1009,-22960,-7657,-342,-3729,-40759,69964,84563,34028, 156001.400, 40.0102468,-105.2441079, 1589.226,1610.554, 5445.697,3850.689
1721675978.471851,-230,104,1025,-21227,-5408,-4043
1721675978.481147,-218,80,1037,-17928,-1322,-9967
1721675978.490443,-165,31,1046,-14525,3430,-16372
1721675978.499739,-124,-41,1041,-11611,7568,-20388
1721675978.509035,-86,-97,1036,-9327,10622,-20825
1721675978.518331,-15,-141,1039,-8417,12836,-18725
1721675978.527627,-9,-164,1066,-8496,14096,-14972
1721675978.536927,26,-152,1083,-9292,14271,-10544,-3265,-39965,70703,84559,34028, 156001.500, 40.0102468,-105.2441079, 1589.226,1610.554, 5445.714,3850.701
