;Title, http://www.gcdataconcepts.com, LSM6DSM, BMP384, GPS
;Version, 2585, Build date, Feb  9 2024,  SN:CCDC2023B942042
;Start_time, 2024-07-22, 19:42:40.133
;Uptime, 5,sec,  Vbat, 4072, mv, EOL, 3500, mv
;Deadband, 0, counts
;DeadbandTimeout, 0.000,sec
;BMP384, SI, 0.100,sec, Units, Pa, mdegC
;Alt Trigger disabled
;LSM6DSM, SR,104,Hz, Units, mG, mdps, fullscale gyro 250dps, accel 4g
;Magnetometer, SR,10,Hz, Units, nT, Temperature, 30,degC
;CAM_M8 Gps, SR,10,Hz
;Gps Sats, TOW, 157376000, ver, 1, numSat, 21
;, gnssId, svId, cno, elev, azmith, prRes, flags,inUse
;, GPS, 008, 00, 10, 323, 0, 0x00001911
;, GPS, 010, 00, 45, 278, 0, 0x00001911
;, GPS, 013, 00, 06, 037, 0, 0x00001911
;, GPS, 015, 00, 33, 050, 0, 0x00001911
;, GPS, 016, 00, 03, 266, 0, 0x00001911
;, GPS, 018, 00, 63, 108, 0, 0x00001911
;, GPS, 023, 00, 70, 338, 0, 0x00001911
;, GPS, 024, 00, 26, 106, 0, 0x00001911
;Time, Ax, Ay, Az, Gx, Gy, Gz, Mx, My, Mz, P, T, TOW, Lat,Lon, Height(m), MSL(m), hdop(m), vdop(m)
1721677360.195463,-2,-4,1011,-1828,-3702,-1383,-22515,17675,72375,84540,32605, 157376.160, 40.0102918,-105.2442254, 1590.863,1612.191, 247531.424,175031.136
1721677360.204713,6,-6,1008,-1487,0,-1960
1721677360.213963,5,-16,1012,-1286,332,-2162
1721677360.223213,3,-8,1019,-1260,341,-2468
1721677360.232463,5,-6,1021,-1688,166,-2555
1721677360.241713,-1,-9,1020,-1855,35,-2704
1721677360.250963,-7,-5,1016,-1767,0,-2853
1721677360.260213,0,-6,1009,-1662,61,-2897
1721677360.649109,2,-6,1010,-1513,262,-3220,-22308,17730,72564,84541,32598, 157381.600, 40.0102918,-105.2442254, 1590.863,1612.191, 5034.184,3559.706
1721677360.658359,4,-10,1013,-1111,280,-3465
1721677360.667609,7,-15,1016,-691,140,-3448
1721677360.676859,7,-12,1016,-481,-18,-3220
1721677360.686109,13,-2,1014,-595,-368,-2757
1721677360.695359,20,1,1011,-743,-884,-2547
1721677360.704609,22,3,1009,-752,-1313,-2337
1721677360.713859,25,0,1008,-455,-1680,-2013
1721677360.723114,27,3,1011,-70,-2118,-1479,,,,84547,32609
1721677360.732364,21,-7,1017,272,-2739,-1068
1721677360.741614,16,-10,1027,727,-3439,-919
1721677360.750864,2,-9,1032,954,-4288,-604
1721677360.760114,15,-18,1028,1313,-4962,-193
1721677360.769364,0,-13,1025,1855,-5119,-210
1721677360.778614,-19,-10,1027,2065,-5207,-683
1721677360.787864,-5,-10,1029,2205,-5172,-1182
1721677360.797119,2,-20,1029,2188,-4944,-1890,-22399,17871,72479,84547,32607, 157381.701, 40.0102918,-105.2442254, 1590.863,1612.191, 5034.193,3559.712
1721677360.806369,2,-16,1030,2004,-4892,-2538
1721677360.815619,11,-17,1028,1803,-4787,-2669
1721677360.824869,-22,-22,1031,1628,-4813,-2442
1721677360.834119,17,-14,1031,1322,-4935,-1698
1721677360.843369,34,0,1031,928,-4620,-280
1721677360.852619,2,-8,1039,867,-4865,-280
1721677360.861869,8,-13,1042,1068,-5058,-9
1721677360.871124,-6,-24,1041,1112,-4769,647,-22583,17657,72454,,, 157381.799, 40.0107364,-105.2442097, 1590.863,1612.191, 744.760,707.107
1721677360.880374,0,-24,1037,1173,-4603,770
1721677360.889624,19,-27,1033,1147,-4305,437
1721677360.898874,11,-18,1033,1085,-4244,-263
1721677360.908124,2,-7,1039,718,-4664,-875
1721677360.917374,-3,-11,1045,350,-5119,-1330
1721677360.926624,0,-13,1044,490,-5110,-1287
1721677360.935874,0,-8,1043,718,-4690,-1015
1721677360.945130,-6,-5,1037,1024,-4349,-989,-22705,17321,72235,84551,32605
1721677360.954380,-31,-18,1026,1444,-4130,-1199
1721677360.963630,-76,-65,1008,1575,-3859,-1540
1721677360.972880,-56,-50,993,1427,-3290,-2669
1721677360.982130,-21,-32,986,858,-2153,-3999
1721677360.991380,-3,-48,997,665,-1339,-4367
1721677361.000630,-5,-39,1013,464,-972,-3719
1721677361.009880,5,-29,1028,237,-919,-1803
1721677361.019135,14,-17,1036,-17,-727,-368,-22656,17272,72314,84539,32620, 157381.899, 40.0071240,-105.2445732, 1312.587,1333.915, 773.127,586.044
1721677361.028385,13,-20,1032,-218,-630,148
1721677361.037635,20,-9,1033,-113,-578,0
1721677361.046885,24,-10,1029,202,-473,-123
1721677361.056135,14,-18,1021,735,-490,-368
1721677361.065385,7,-11,1016,884,-762,-552
1721677361.074635,9,-8,1014,613,-1225,-727
1721677361.083885,8,-10,1013,473,-1759,-832
1721677361.093140,13,-25,1016,744,-2258,-727,-22741,17364,72338,84554,32620, 157382.000, 40.0072282,-105.2445939, 1326.136,1347.464, 593.825,467.958
1721677361.102390,20,-10,1026,1120,-2503,-700
1721677361.111640,15,-41,1034,1427,-2783,-884
1721677361.120890,-7,-52,1033,1829,-3203,-2118
1721677361.130140,3,-46,1030,1532,-3553,-1689
1721677361.139390,0,-32,1029,797,-3632,-1077
1721677361.148640,-14,-28,1029,499,-4052,-770
1721677361.157890,-21,-30,1019,438,-4104,-875
1721677361.167297,-26,-27,1011,447,-3570,-1304,,,,,, 157382.100, 40.0072813,-105.2446074, 1334.869,1356.197, 532.518,413.742
1721677361.176547,-17,-19,1012,657,-3054,-1234
1721677361.185797,-14,-20,1017,1050,-2625,-447
1721677361.195047,-15,-22,1025,1435,-2319,542
1721677361.204297,-16,-27,1027,1672,-2170,1540
1721677361.213547,-21,-34,1023,1890,-2118,2240
1721677361.222797,-13,-34,1017,1873,-2039,2345
1721677361.232047,-10,-45,1013,1707,-1995,2100
1721677361.241181,-18,-44,1011,1637,-1952,1426,-22814,17095,72369,84547,32616
1721677361.250431,-21,-42,1013,1409,-1908,708
1721677361.259681,-10,-40,1015,1199,-1698,113
1721677361.268931,-8,-37,1013,910,-1497,-263
1721677361.278181,-3,-41,1012,823,-1470,-412
1721677361.287431,0,-42,1011,622,-1462,-552
1721677361.296681,9,-43,1011,429,-1462,-412
1721677361.305931,9,-51,1013,254,-1453,-228
1721677361.315186,-5,-50,1022,228,-1654,-175,-22802,17028,72375,84535,32618, 157382.200, 40.0101435,-105.2443291, 1585.571,1606.899, 123.269,119.243
1721677361.324436,-10,-44,1026,0,-1812,-420
1721677361.333686,-3,-37,1023,-201,-1637,-648
1721677361.342936,-11,-46,1024,-227,-1400,-1007
1721677361.352186,-19,-33,1023,-236,-1427,-937
1721677361.361436,-11,-34,1024,-560,-1453,-648
1721677361.370686,-6,-42,1025,-743,-1365,-499
